NAME,ASSOCIATION,EXPERIMENT,IMAGE,INTENSITY,INTENSITY.ch1.mean,INTENSITY.ch1.mean_c,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.width.mean,ZSCORE,
b4,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3835.568,3239.3933,(x=57.58 y=393.48),1,1,1043.3547,79.157814,13.49351,3.9897513,
b5,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,6735.151,6138.976,(x=30.52 y=509.64),1,1,512.81494,44.977177,12.122023,3.9897513,
b6,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3015.5757,2419.401,(x=99.17 y=309.11),1,1,674.2578,55.326584,12.851234,3.9897513,
b8,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3325.9285,2729.7537,(x=127.37 y=260.57),1,1,615.5674,54.871475,11.773608,3.9897513,
b10,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,9468.406,8872.231,(x=136.88 y=309.71),1,1,884.1465,63.97576,14.493501,3.9897513,
b11,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,1438.6444,842.46967,(x=166.70 y=608.34),1,1,943.8711,80.21444,12.088472,3.9897513,
b13,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,2947.8418,2351.667,(x=189.24 y=205.96),1,1,878.9043,71.085045,12.7866955,3.9897513,
b14,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,2166.3796,1570.2048,(x=203.27 y=517.11),1,1,434.09766,37.740845,12.229611,3.9897513,
b15,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,1733.0365,1136.8618,(x=229.95 y=78.70),1,1,906.43115,77.56421,12.037036,3.9897513,
b17,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,6710.1133,6113.9385,(x=228.90 y=197.76),1,1,1032.5176,90.572876,11.711201,3.9897513,
b18,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,7840.138,7243.9634,(x=233.25 y=288.89),1,1,953.3594,74.72609,13.249347,3.9897513,
b19,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,2058.7336,1462.5588,(x=246.74 y=516.21),1,1,538.72656,47.583435,11.941109,3.9897513,
b20,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3209.2864,2613.1116,(x=247.13 y=420.01),1,1,696.65234,61.198555,11.835107,3.9897513,
b21,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3640.367,3044.1921,(x=270.78 y=156.12),1,1,965.18066,81.44789,12.260318,3.9897513,
b22,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,4103.9805,3507.8057,(x=310.37 y=61.49),1,1,859.6929,72.62355,12.278633,3.9897513,
b26,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,5159.615,4563.4404,(x=372.68 y=620.69),1,1,480.1328,42.197483,12.163448,3.9897513,
b34,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3852.432,3258.1533,(x=57.58 y=393.48),2,1,1043.3547,79.157814,13.49351,3.9897513,
b35,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,6704.298,6110.019,(x=30.52 y=509.64),2,1,512.81494,44.977177,12.122023,3.9897513,
b36,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3014.1484,2419.8699,(x=99.17 y=309.11),2,1,674.2578,55.326584,12.851234,3.9897513,
b38,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,3289.401,2695.1223,(x=127.37 y=260.57),2,1,615.5674,54.871475,11.773608,3.9897513,
b40,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,9278.566,8684.288,(x=136.88 y=309.71),2,1,884.1465,63.97576,14.493501,3.9897513,
b41,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,1429.0836,834.805,(x=166.70 y=608.34),2,1,943.8711,80.21444,12.088472,3.9897513,
b43,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,2953.943,2359.6646,(x=189.24 y=205.96),2,1,878.9043,71.085045,12.7866955,3.9897513,
b44,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,2138.7036,1544.425,(x=203.27 y=517.11),2,1,434.09766,37.740845,12.229611,3.9897513,
b45,0,F2,MC4100_dL5_high_cephalexin-sereds_R2_F2-1.tif,255.0,1733.0608,1138.7822,(x=229.95 y=78.70),2,1,906.43115,77.56421,12.037036,3.9897513,
