NAME,ASSOCIATION,EXPERIMENT,IMAGE,INTENSITY,INTENSITY.ch1.mean,INTENSITY.ch1.mean_c,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.width.mean,ZSCORE,
b1,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1841.7345,1276.9458,(x=28.84 y=585.45),1,1,239.86816,22.298172,12.194782,2.0255742,
b2,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1789.5339,1224.7454,(x=40.68 y=315.93),1,1,220.62793,23.10289,10.519098,2.0255742,
b3,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1546.6516,981.863,(x=36.20 y=358.37),1,1,152.99219,17.627419,9.887735,2.0255742,
b4,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1591.0819,1026.2932,(x=43.13 y=374.31),1,1,182.06787,19.502167,10.500149,2.0255742,
b6,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1901.125,1336.3364,(x=48.46 y=592.58),1,1,223.23535,21.246332,11.962457,2.0255742,
b7,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1927.7312,1362.9426,(x=66.52 y=639.00),1,1,157.92188,17.64741,10.698805,2.0255742,
b9,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1624.302,1059.5134,(x=83.26 y=198.60),1,1,199.81348,20.702436,10.740453,2.0255742,
b10,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,2274.3547,1709.5662,(x=86.00 y=413.54),1,1,279.4414,24.622156,12.21991,2.0255742,
b11,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1756.1326,1191.344,(x=87.52 y=226.93),1,1,263.98535,26.801655,10.761541,2.0255742,
b12,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1278.885,714.0964,(x=84.52 y=53.93),1,1,169.3695,17.881466,11.373913,2.0255742,
b13,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1507.1277,942.33905,(x=127.88 y=87.87),1,1,140.18457,16.70737,9.879991,2.0255742,
b14,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,3554.996,2990.2075,(x=125.38 y=341.42),1,1,250.8711,26.850916,10.036916,2.0255742,
b15,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,2209.0427,1644.2542,(x=131.55 y=262.12),1,1,278.4746,25.849695,11.832731,2.0255742,
b17,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1462.1624,897.3737,(x=167.18 y=113.19),1,1,157.27734,18.045555,9.89562,2.0255742,
b18,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1689.8619,1125.0732,(x=177.83 y=241.11),1,1,180.99805,20.880335,9.566711,2.0255742,
b19,0,F1,DADE_psu18-amiB_laco-_sereds_F1-1.tif,255.0,1734.4652,1169.6765,(x=173.56 y=146.19),1,1,181.18164,19.409624,10.197774,2.0255742,
